,Hierarchical ID,Page,Tab,Element Type,Element Name,Status,Source / Data Dependency,Transformation / Calculation,Owner/SME,Refresh Cadence,Issues,Notes,,,,,,,,,,,,,,
84,REV-DF-CARD-84,revenue,Definitions,card,Survival Analysis,ACTIVE,N/A,Definition only,Data Science,N/A,,Statistical methods for analyzing time-to-event data,,,,,,,,,,,,,,
85,REV-DF-CARD-85,revenue,Definitions,card,Behavioral Economics,ACTIVE,N/A,Definition only,Product,N/A,,Study of psychological factors in economic decisions,,,,,,,,,,,,,,
86,REV-DF-CARD-86,revenue,Definitions,card,Diffusion Theory,ACTIVE,N/A,Definition only,Data Science,N/A,,Mathematical models of how innovations spread,,,,,,,,,,,,,,
87,REV-DF-CARD-87,revenue,Definitions,card,Stochastic Processes,ACTIVE,N/A,Definition only,Data Science,N/A,&lt is coded incorrectly,Mathematical models incorporating randomness over time,,,,,,,,,,,,,,
88,RET-ST-CHART-88,retention,retention strategy,chart/graph,Segment Growth Projections,DRAFT,"Internal_DB.users, CLV Model",Projection based on current growth rate and CLV,Growth,MONTHLY,,Expected growth and risk by customer segment,,,,,,,,,,,,,,
89,RET-ST-TABLE-89,retention,retention strategy,table,Segment Growth Projections,DRAFT,"Internal_DB.users, CLV Model",Table view of projection data,Growth,MONTHLY,,Segment Current Projected Growth Risk Level Action Required,,,,,,,,,,,,,,
90,RET-ST-CARD-90,retention,retention strategy,card,Value-based Segments,ACTIVE,CLV Model,Lookup to CLV segmentation (CLV-SEG-TABLE-187),Growth,MONTHLY,,Segmented by customer lifetime value and revenue contribution,,,,,,,,,,,,,,
91,RET-ST-CARD-91,retention,retention strategy,card,Platinum Tier - Risk-based Sub-segments,ACTIVE,ML_Model.churn_scores,"COUNT, AVG(risk_score) filtered for Platinum tier",Growth,WEEKLY,,Stratified retention effort allocation,,,,,,,,,,,,,,
92,RET-ST-CARD-92,retention,retention strategy,card,Recommended Intervention Strategy,BROKEN,Internal_DB.playbook,Lookup table based on segment and risk profile,Growth,WEEKLY,deploy intervention strategy button does not work,,,,,,,,,,,,,,,
93,RET-CA-CHART-93,retention,cohort analysis,chart/graph,Retention Rate by Period,ACTIVE,Internal_DB.users,Line chart for a selected cohort over time,Data Science,WEEKLY,,drop down MM YYYY with rate by period,,,,,,,,,,,,,,
94,RET-CA-CHART-94,retention,cohort analysis,chart/graph,Revenue by Cohort,BROKEN,Stripe.Invoices,Line chart of cumulative revenue for a selected cohort,Data Science,WEEKLY,no data currently displayed,,,,,,,,,,,,,,,
95,RET-CA-TABLE-95,retention,cohort analysis,table,Retention Matrix,ACTIVE,Internal_DB.users,Cohort table with retention % for N periods out,Data Science,MONTHLY,,Cohort Customers retention % by 6 periods,,,,,,,,,,,,,,
96,RET-IA-CARD-96,retention,investment analysis,card,Total Investment,DRAFT,Manual Input,Manual input of retention campaign budget,Growth,AD_HOC,,,,,,,,,,,,,,,,
97,RET-IA-CARD-97,retention,investment analysis,card,Expected Savings,DRAFT,Manual Input,At-Risk Customers * Save Rate * Avg CLV,Growth,AD_HOC,,,,,,,,,,,,,,,,
98,RET-IA-CARD-98,retention,investment analysis,card,Overall ROI,DRAFT,Manual Input,(Expected Savings - Total Investment) / Total Investment,Growth,AD_HOC,,,,,,,,,,,,,,,,
99,RET-IA-CARD-99,retention,investment analysis,card,Targeted Customers,DRAFT,ML_Model.churn_scores,COUNT of customers selected for campaign,Growth,AD_HOC,,,,,,,,,,,,,,,,
100,RET-IA-TABLE-100,retention,investment analysis,table,Retention Investment Analysis,DRAFT,"Manual Input, ML_Model.churn_scores",Combines manual inputs and model scores per segment,Growth,AD_HOC,,Sub-segment Customers Investment Risk Level Effort Level Expected RO,,,,,,,,,,,,,,
101,RET-IP-CARD-101,retention,intervention plan,card,Retention Intervention Plan,DRAFT,Internal_DB.playbook,Filterable list of pre-defined campaign templates,Growth,AD_HOC,,Detailed action plan for retention campaigns,,,,,,,,,,,,,,
102,RET-IP-CARD-102,retention,intervention plan,card,Retention Intervention Plan Success Metrics,DRAFT,Manual Input,Defines KPIs for a specific campaign,Growth,AD_HOC,,"Primary, Secondary Goal, ROI target, timeframe",,,,,,,,,,,,,,
103,CRM-OV-CARD-103,crm,Overview,card,Customer Acquisition Cost,ACTIVE,"Marketing_Spend_DB, CRM.leads",Total Marketing & Sales Spend / New Customers Acquired,Marketing,WEEKLY,,Includes all marketing and sales expenses,,,,,,,,,,,,,,
104,CRM-OV-CARD-104,crm,Overview,card,Return on Ad Spend,ACTIVE,"Marketing_Spend_DB, Stripe.Invoices",Revenue from Ad Campaign / Ad Spend,Marketing,DAILY,,Revenue generated per dollar spent on advertising,,,,,,,,,,,,,,
105,CRM-OV-CARD-105,crm,Overview,card,Lead Quality Score,ACTIVE,ML_Model.lead_scores,AVG(lead_score) for period,Marketing,DAILY,,AI-based scoring system for lead potential,,,,,,,,,,,,,,
106,CRM-OV-CARD-106,crm,Overview,card,Conversion Rate,ACTIVE,CRM.leads,(New Customers / Qualified Leads) * 100,Marketing,DAILY,,Percentage of visitors converting to customers,,,,,,,,,,,,,,
107,CRM-OV-CHART-107,crm,Overview,chart/graph,Marketing Mix Performance,ACTIVE,Marketing_Spend_DB,Line chart: ROAS and Total Spend by channel over time,Marketing,WEEKLY,,Channel spend efficiency and ROI trends,,,,,,,,,,,,,,
108,CRM-OV-CHART-108,crm,Overview,chart/graph,Channel Efficiency Analysis,ACTIVE,Marketing_Spend_DB,Scatter plot: CAC vs ROAS (or LTV) by channel,Marketing,WEEKLY,duplicate chart -  remove this,Cost vs return scatter plot,,,,,,,,,,,,,,
109,CRM-AT-CHART-109,crm,Attribution,chart/graph,Shapley Value Attribution Analysis,ACTIVE,Google Analytics.Path_data,Game theory-based attribution calculation,Data Science,WEEKLY,,Game theory-based fair attribution across channels,,,,,,,,,,,,,,
110,CRM-AT-CHART-110,crm,Attribution,chart/graph,Channel Contribution Distribution,ACTIVE,Google Analytics.Path_data,Pie chart of revenue share by channel (Shapley Value),Marketing,WEEKLY,,Channel revenue distribution across attribution models,,,,,,,,,,,,,,
111,CRM-AT-TABLE-111,crm,Attribution,table,Channel Performance Matrix,ACTIVE,"Google Analytics.Path_data, Marketing_Spend_DB","Table of channels with Spend, Conversions, ROAS, CAC",Marketing,WEEKLY,,"Performance across revenue, conversions, and ROAS",,,,,,,,,,,,,,
112,CRM-AT-CHART-112,crm,Attribution,chart/graph,Attribution Model Comparison,ACTIVE,Google Analytics.Path_data,Bar chart: revenue per channel across different models,Data Science,WEEKLY,,"Revenue attribution across First-Click, Last-Click, Shapley Value",,,,,,,,,,,,,,
113,CRM-AT-CHART-113,crm,Attribution,chart/graph,Attribution Accuracy Comparison,ACTIVE,Internal Validation,Bar chart comparing model accuracy scores,Data Science,AD_HOC,,"Accuracy of Shapley, Markov Chain, Linear, Last-Click models",,,,,,,,,,,,,,
114,CRM-AI-CHART-115,crm,AI Scoring,chart/graph,Feature Importance,ACTIVE,ML_Model.lead_scores,Bar chart of top features by SHAP value,Data Science,WEEKLY,,Model feature importance and predictive accuracy,,,,,,,,,,,,,,
115,CRM-AI-CARD-116,crm,AI Scoring,card,Model Performance & Recommendations,ACTIVE,ML_Model.lead_scores,"Display of accuracy, precision, recall",Data Science,WEEKLY,,"Accuracy, Precision, Recommendations",,,,,,,,,,,,,,
116,CRM-AI-CARD-118,crm,AI Scoring,card,Data Collection Recommendation,ACTIVE,ML_Model.lead_scores,Suggests new data sources based on feature importance,Data Science,AD_HOC,,Recommendation to improve scoring,,,,,,,,,,,,,,
117,CRM-CJ-CHART-119,crm,Customer Journey,chart/graph,Customer Journey Analysis,ACTIVE,Google Analytics.Path_data,Sankey diagram of flow between stages,Marketing,WEEKLY,,Probabilistic funnel progression modeling,,,,,,,,,,,,,,
118,CRM-CJ-CARD-120,crm,Customer Journey,card,Journey Metrics,ACTIVE,Google Analytics.Path_data,"Overall Conversion Rate, Journey Length",Marketing,WEEKLY,,"Final Conversion Rate, Journey Efficiency, Expected LTV",,,,,,,,,,,,,,
119,CRM-CJ-CARD-121,crm,Customer Journey,card,Warning,ACTIVE,Google Analytics.Path_data,Flags stages with significant drop-off,Marketing,DAILY,,opportunity type & recommended action,,,,,,,,,,,,,,
120,CRM-CJ-CARD-122,crm,Customer Journey,card,Conversion Opportunity,ACTIVE,Google Analytics.Path_data,Flags high-intent segments stuck in journey,Marketing,DAILY,,warning type & recommended action,,,,,,,,,,,,,,
121,CRM-REC-CARD-123,crm,Recommendations,card,AI-Powered Recommendations,ACTIVE,ML_Model.recommendations,Generative output based on model analysis,Marketing,DAILY,,Data-driven marketing optimization insights,,,,,,,,,,,,,,
122,CRM-INT-TABLE-124,crm,Integrations,table,Platform Integrations,ACTIVE,Internal_DB.integrations,Status check of API connections,DevOps,DAILY,,"Connected CRM and Ad platforms, status & record count",,,,,,,,,,,,,,
123,CRM-DF-CARD-125,crm,Definitions,card,Customer Acquisition Cost (CAC),ACTIVE,N/A,Definition only,Marketing,N/A,,Total marketing + sales cost per acquired customer,,,,,,,,,,,,,,
